1QG4,1OUN
4CHA,1EGL
1FGN,1TFH
2CPL,4J93
2CLR,1CD8
1IJJ,3DNI
1QQU,1BA7
1AVV,1FYN
1RGH,1A19
1D6O,1IAS
1BJ1,2VPF
1A2P,1A19
1HCL,1DKS
1BVL,3LZT
1PIG,1HOE
4CHA,9PTI
1A6Z,1CX8
9RSA,2BNH
1DQQ,3LZT
2DTQ,1FNL
1E1N,1CJE
1E6O,1A43
1MH1,1HH8
1EAX,9PTI
1BUY,1ERN
1AVV,1FYN
1FSJ,1IMQ
1GJR,1CZP
1TRM,1ECZ
4PEP,1F32
1CL0,2TIR
1BDD,1FC1
3CHY,1FWP
9EST,2REL
1TND,1FQI
1FSK,1BV1
1GRI,1GCP
4CHA,1PMC
1BU6,1F3Z
1THF,1K9V
1A4R,1RGP
1CK7,1BR9
1IJJ,1P8X
1EAN,1ILF
1B98,1WWB
821P,1E8Z
2PKA,1BX8
1QG4,1A12
1MH1,1I49
1QJB,1KUY
1QG4,1F59
1AUQ,1FVU
1IQD,1D7P
1O3Y,1OXZ
1AKL,2RN4
1JMJ,2CN0
1JPT,1TFH
3GMU,1ZG4
3EED,3C13
1RRP,1YRG
1NOB,1F5W
1JB1,2HPR
1H15,1STE
1TGK,1M9Z
1IJJ,1KW2
1KXQ,1PPI
5P21,1LXD
1AUQ,1M0Z
1J06,1FSC
1MLB,3LZT
1IAM,1MQ9
8PCH,1DVC
1NCA,7NN9
1NSN,1KDC
1LF0,2II0
1LF0,2II0
1JXQ,2OPY
1B3K,2JQ8
1QLP,2PTN
2Q76,3LZT
2PTN,1LU0
1BQU,1EMR
1X9Y,1NYC
1HNF,1CCZ
1SCN,2GKR
1R6C,2W9R
2PAB,1HBP
1FZV,1QSZ
2F0R,1YJ1
1ACC,1SHU
2FXS,2W0G
3EUG,2UGI
1VFA,8LYZ
1V8Z,1GEQ
1QBL,1HRC
6Q21,1WER
1UCH,1YJ1
1XQR,1S3X
1U5Y,1XUT
2GHU,1CEW
2BME,1YZM
1M4Z,1Z1A
1KWM,2JTO
1N0V,1XK9
1U8Z,2C8B
3I1U,1ZFI
1R42,2GHV
1BEC,1CK1
2DCY,1T6E
1BIZ,1Z9E
1IJJ,1PNE
1FCH,1C44
2ZKM,1MH1
1C3D,2GOM
2BBA,1IKO
1CRZ,1OAP
2HRA,2HQT
2I24,3LZT
1YWH,2I9A
966C,1D2B
2JEL,1POH
2BBK,2RAC
1MKF,1J9O
1ZM8,1J57
2OOA,1YJ1
1L7E,1E3T
3BPF,2NNR
3HEC,3FYK
1CCP,1HRC
1CCP,1YCC
2PTN,9PTI
1SUP,3SSI
1UBN,2CI2
1TGB,9PTI
2PTN,2UUX
3CX9,2J5Y
1GIG,2HMG
1GIG,2VIU
1FSJ,2NO8
1Z6R,3BP3
1BEC,3BVZ
1G16,3CPI
2QA9,2OVO
8CPA,1H20
