O15318	Q9Y535
Q9UNP9	Q9ULR0
Q6P1K8	Q92759
Q96F07	Q9UPY6
P48556	Q99460
Q9NR33	Q07864
O75448	Q71SY5
P62191	O75832
Q9H6T3	Q9NWS0
P09661	P08579
Q9H6T3	Q96MX6
P60900	P25787
P17987	P78371
Q9BUE0	Q9NVC6
Q8IZP0	Q96F07
Q9UHB7	Q03111
Q13144	Q9UI10
Q5T4S7	Q9P0J7
Q6STE5	Q8WUZ0
P56192	Q9P2J5
O00231	P51665
O43242	O00231
Q16401	O00231
O75575	Q9H1D9
P68400	P67870
P20618	P25786
Q6PD62	Q6P1J9
P25787	P49721
Q14152	O00303
P26640	P26641
Q8WUZ0	P51532
Q96G25	Q9Y2X0
P14868	P41252
P33240	Q05048
Q15532	Q8NFD5
Q96CW5	Q9BSJ2
O43172	O75643
Q9Y3C6	Q13573
Q92922	Q92925
O60341	J3KN32 H0YNY4
Q9NQP4	Q99471
Q96FV9	Q13769
Q14152	Q99613
O75448	Q9UHV7
Q15532	Q92785
Q9P2I0	Q92797
O00232	P43686
Q9Y5Q9	Q9Y5Q8
P20618	O14818
Q96MG7	Q8IY18
P43686	Q9UNM6
O00232	P51665
P49368	P78371
P41252	P47897
Q9NR33	Q9NRF9
Q16630	O43809
P51665	Q13200
Q13416	Q9UFC0
P51665	P55036
O14818	P25787
O60645	Q96A65
O15372	Q7L2H7
Q92925	Q8NFD5
P42025	Q13561
Q96G25	O60244
Q15046	P41252
P51532	Q92785
Q16401	O00233
P50991	P50990
Q9H1I8	Q8N3C0
Q9Y3A3	Q13033
P49770	Q14232
Q32P51	P52597
Q9NZ32	Q9UJW0
P49959	Q92878
P20618	P28074
P60228	Q99613
Q9UJW0	Q13561
O75832	Q9BRP4
Q02241	Q9H0H5
Q9BUE0	Q9Y2X0
P50552	Q9UI08
Q9Y678	P53621
Q8TAQ2	Q92925
P62333	Q13200
O14802	P05423
Q9NTI5	Q8WVM7
P30260	Q96DE5
Q96G25	O75448
Q99623	P35232
Q9NX70	Q15648
Q92526	P78371
Q8WWY3	O75643
P55036	Q9UNM6
Q9UI15	P37802
P36543	P21281
Q9Y262	Q9UBQ5
P27694	P35244
Q99832	P78371
P20618	P28070
P54136	P14868
Q13042	Q9UJX4
Q9UHV9	P61758
Q9BQE9	O14497
O94855	Q15437
O14818	P25786
Q96CB8	Q8N201
Q16401	Q15008
Q4VC05	O14497
P61160	P59998
P06576	P25705
P35998	P62195
P11177	P08559
O00231	Q9UNM6
Q9UQE7	Q29RF7
Q8IZP0	P55160
Q9UBQ5	O15371
Q9NPI1	Q86U86
O75369	P21333
Q86YP4	Q12873
P62191	P51665
P60228	Q14152
P48643	P49368
Q6P2C8	Q9Y2X0
O00233	P35998
P48444	P35606
O75586	O75448
Q15906	Q9NPF5
O95639	Q9C0J8
Q8WVC0	Q9GZS3
Q6STE5	Q8NFD5
P48444	Q9Y678
Q99547	Q5RKV6
O75832	Q9UNM6
Q15437	O95486
P54136	P07814
Q15007	Q69YN4
Q13868	Q5RKV6
P48643	Q92526
O00232	P62333
Q8WWY3	O95400
Q9NW08	Q9H1D9
P55036	Q15008
Q9ULR0	Q9BZJ0
