Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (PDB)	Cross-reference (PDBsum)
P62825	RAN_CANLF	reviewed	GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN	Canis lupus familiaris (Dog) (Canis familiaris)	216	1A2K;1BYU;1QG2;1QG4;1WA5;2BKU;3A6P;3RAN;3W3Z;5BXQ;	1A2K;1BYU;1QG2;1QG4;1WA5;2BKU;3A6P;3RAN;3W3Z;5BXQ;
P61972	NTF2_RAT	reviewed	Nuclear transport factor 2 (NTF-2)	Nutf2 Ntf2	Rattus norvegicus (Rat)	127	1A2K;1AR0;1ASK;1GY6;1JB2;1JB4;1JB5;1OUN;1QMA;1U5O;5BXQ;	1A2K;1AR0;1ASK;1GY6;1JB2;1JB4;1JB5;1OUN;1QMA;1U5O;5BXQ;
P00766	CTRA_BOVIN	reviewed	Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]		Bos taurus (Bovine)	245	1AB9;1ACB;1AFQ;1CA0;1CBW;1CGI;1CGJ;1CHG;1CHO;1DLK;1EX3;1GCD;1GCT;1GG6;1GGD;1GHA;1GHB;1GL0;1GL1;1GMC;1GMD;1GMH;1HJA;1K2I;1MTN;1N8O;1OXG;1P2M;1P2N;1P2O;1P2Q;1T7C;1T8L;1T8M;1T8N;1T8O;1VGC;1YPH;2CGA;2CHA;2GCH;2GCT;2GMT;2P8O;2VGC;2Y6T;3BG4;3GCH;3GCT;3RU4;3T62;3VGC;4CHA;4GCH;4Q2K;4VGC;5CHA;5GCH;6CHA;6GCH;7GCH;8GCH;	1AB9;1ACB;1AFQ;1CA0;1CBW;1CGI;1CGJ;1CHG;1CHO;1DLK;1EX3;1GCD;1GCT;1GG6;1GGD;1GHA;1GHB;1GL0;1GL1;1GMC;1GMD;1GMH;1HJA;1K2I;1MTN;1N8O;1OXG;1P2M;1P2N;1P2O;1P2Q;1T7C;1T8L;1T8M;1T8N;1T8O;1VGC;1YPH;2CGA;2CHA;2GCH;2GCT;2GMT;2P8O;2VGC;2Y6T;3BG4;3GCH;3GCT;3RU4;3T62;3VGC;4CHA;4GCH;4Q2K;4VGC;5CHA;5GCH;6CHA;6GCH;7GCH;8GCH;
P01051	ICIC_HIRME	reviewed	Eglin C		Hirudo medicinalis (Medicinal leech)	70	1ACB;1CSE;1EGL;1EGP;1MEE;1SBN;1SIB;1TEC;2SEC;2TEC;3TEC;4B1T;4B2A;4B2B;4B2C;4H4F;	1ACB;1CSE;1EGL;1EGP;1MEE;1SBN;1SIB;1TEC;2SEC;2TEC;3TEC;4B1T;4B2A;4B2B;4B2C;4H4F;
P13726	TF_HUMAN	reviewed	Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)	F3	Homo sapiens (Human)	295	1AHW;1BOY;1DAN;1FAK;1J9C;1JPS;1NL8;1O5D;1TFH;1UJ3;1W0Y;1W2K;1WQV;1WSS;1WTG;1WUN;1WV7;1Z6J;2A2Q;2AEI;2AER;2B7D;2B8O;2C4F;2CEF;2CEH;2CEZ;2CFJ;2EC9;2F9B;2FIR;2FLB;2FLR;2HFT;2PUQ;2ZP0;2ZWL;2ZZU;3ELA;3TH2;3TH3;3TH4;4IBL;4M7L;4YLQ;4Z6A;4ZMA;	1AHW;1BOY;1DAN;1FAK;1J9C;1JPS;1NL8;1O5D;1TFH;1UJ3;1W0Y;1W2K;1WQV;1WSS;1WTG;1WUN;1WV7;1Z6J;2A2Q;2AEI;2AER;2B7D;2B8O;2C4F;2CEF;2CEH;2CEZ;2CFJ;2EC9;2F9B;2FIR;2FLB;2FLR;2HFT;2PUQ;2ZP0;2ZWL;2ZZU;3ELA;3TH2;3TH3;3TH4;4IBL;4M7L;4YLQ;4Z6A;4ZMA;
P62937	PPIA_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	Homo sapiens (Human)	165	1AK4;1AWQ;1AWR;1AWS;1AWT;1AWU;1AWV;1BCK;1CWA;1CWB;1CWC;1CWF;1CWH;1CWI;1CWJ;1CWK;1CWL;1CWM;1CWO;1FGL;1M63;1M9C;1M9D;1M9E;1M9F;1M9X;1M9Y;1MF8;1MIK;1NMK;1OCA;1RMH;1VBS;1VBT;1W8L;1W8M;1W8V;1YND;1ZKF;2ALF;2CPL;2CYH;2MS4;2MZU;2N0T;2RMA;2RMB;2X25;2X2A;2X2C;2X2D;2XGY;3CYH;3CYS;3K0M;3K0N;3K0O;3K0P;3K0Q;3K0R;3ODI;3ODL;3RDD;4CYH;4IPZ;4N1M;4N1N;4N1O;4N1P;4N1Q;4N1R;4N1S;4YUG;4YUH;4YUI;4YUJ;4YUK;4YUL;4YUM;4YUN;4YUO;4YUP;5CYH;5F66;5FJB;5KUL;5KUN;5KUO;5KUQ;5KUR;5KUS;5KUU;5KUV;5KUW;5KUZ;5KV0;5KV1;5KV2;5KV3;5KV4;5KV5;5KV6;5KV7;5T9U;5T9W;5T9Z;5TA2;5TA4;	1AK4;1AWQ;1AWR;1AWS;1AWT;1AWU;1AWV;1BCK;1CWA;1CWB;1CWC;1CWF;1CWH;1CWI;1CWJ;1CWK;1CWL;1CWM;1CWO;1FGL;1M63;1M9C;1M9D;1M9E;1M9F;1M9X;1M9Y;1MF8;1MIK;1NMK;1OCA;1RMH;1VBS;1VBT;1W8L;1W8M;1W8V;1YND;1ZKF;2ALF;2CPL;2CYH;2MS4;2MZU;2N0T;2RMA;2RMB;2X25;2X2A;2X2C;2X2D;2XGY;3CYH;3CYS;3K0M;3K0N;3K0O;3K0P;3K0Q;3K0R;3ODI;3ODL;3RDD;4CYH;4IPZ;4N1M;4N1N;4N1O;4N1P;4N1Q;4N1R;4N1S;4YUG;4YUH;4YUI;4YUJ;4YUK;4YUL;4YUM;4YUN;4YUO;4YUP;5CYH;5F66;5FJB;5KUL;5KUN;5KUO;5KUQ;5KUR;5KUS;5KUU;5KUV;5KUW;5KUZ;5KV0;5KV1;5KV2;5KV3;5KV4;5KV5;5KV6;5KV7;5T9U;5T9W;5T9Z;5TA2;5TA4;
Q79791	Q79791_9HIV1	unreviewed	Gag polyprotein	gag	Human immunodeficiency virus 1	500	2PXR;3J34;3J3Q;3J3Y;3J4F;4J93;	2PXR;3J34;3J3Q;3J3Y;3J4F;4J93;
P01892	1A02_HUMAN	reviewed	HLA class I histocompatibility antigen, A-2 alpha chain (MHC class I antigen A*2)	HLA-A HLAA	Homo sapiens (Human)	365	1AKJ;1AO7;1AQD;1B0G;1B0R;1BD2;1DUY;1DUZ;1EEY;1EEZ;1HHG;1HHH;1HHI;1HHJ;1HHK;1HLA;1I1F;1I1Y;1I4F;1I7R;1I7T;1I7U;1IM3;1JF1;1JHT;1LP9;1OGA;1P7Q;1QEW;1QR1;1QRN;1QSE;1QSF;1S8D;1S9W;1S9X;1S9Y;1T1W;1T1X;1T1Y;1T1Z;1T20;1T21;1T22;1TVB;1TVH;1UR7;2AV1;2AV7;2BNQ;2BNR;2C7U;2CLR;2F53;2F54;2GIT;2GJ6;2GT9;2GTW;2GTZ;2GUO;2J8U;2JCC;2P5E;2P5W;2PYE;2UWE;2V2W;2V2X;2VLJ;2VLK;2VLL;2VLR;2X4N;2X4O;2X4P;2X4Q;2X4R;2X4S;2X4T;2X4U;2X70;3BGM;3BH8;3BH9;3BHB;3D25;3D39;3D3V;3FQN;3FQR;3FQT;3FQU;3FQW;3FQX;3FT2;3FT3;3FT4;3GIV;3GJF;3GSN;3GSO;3GSQ;3GSR;3GSU;3GSV;3GSW;3GSX;3H7B;3H9H;3H9S;3HAE;3HLA;3HPJ;3I6G;3I6K;3IXA;3KLA;3MGO;3MGT;3MR9;3MRB;3MRC;3MRD;3MRE;3MRF;3MRG;3MRH;3MRI;3MRJ;3MRK;3MRL;3MRM;3MRN;3MRO;3MRP;3MRQ;3MRR;3MYJ;3O3A;3O3B;3O3D;3O3E;3O4L;3PWJ;3PWL;3PWN;3PWP;3QDG;3QDJ;3QDM;3QEQ;3QFD;3QFJ;3REW;3TO2;3UTQ;3UTS;3UTT;3V5D;3V5H;3V5K;4E5X;4EMZ;4EN2;4EUP;4FTV;4GKN;4GKS;4I4W;4JFD;4JFE;4JFF;4JFO;4JFP;4JFQ;4K7F;4L29;4L3C;4L3E;4MNQ;4NNX;4NNY;4NO0;4NO2;4NO3;4NO5;4OV5;4QOK;4U6X;4U6Y;4UQ3;4WJ5;4WUU;4ZEZ;5C07;5C08;5C09;5C0A;5C0B;5C0C;5C0D;5C0E;5C0F;5C0G;5C0H;5C0I;5C0J;5D2L;5D2N;5D9S;5DDH;5E00;5E6I;5E9D;5ENW;5EOT;5EU3;5EU4;5EU5;5EU6;5EUO;5F7D;5F9J;5FA3;5FA4;5FDW;5HHM;5HHN;5HHO;5HHP;5HHQ;5HYJ;5IRO;5MEN;5MEO;5MEP;5MEQ;5MER;5SWQ;	1AKJ;1AO7;1AQD;1B0G;1B0R;1BD2;1DUY;1DUZ;1EEY;1EEZ;1HHG;1HHH;1HHI;1HHJ;1HHK;1HLA;1I1F;1I1Y;1I4F;1I7R;1I7T;1I7U;1IM3;1JF1;1JHT;1LP9;1OGA;1P7Q;1QEW;1QR1;1QRN;1QSE;1QSF;1S8D;1S9W;1S9X;1S9Y;1T1W;1T1X;1T1Y;1T1Z;1T20;1T21;1T22;1TVB;1TVH;1UR7;2AV1;2AV7;2BNQ;2BNR;2C7U;2CLR;2F53;2F54;2GIT;2GJ6;2GT9;2GTW;2GTZ;2GUO;2J8U;2JCC;2P5E;2P5W;2PYE;2UWE;2V2W;2V2X;2VLJ;2VLK;2VLL;2VLR;2X4N;2X4O;2X4P;2X4Q;2X4R;2X4S;2X4T;2X4U;2X70;3BGM;3BH8;3BH9;3BHB;3D25;3D39;3D3V;3FQN;3FQR;3FQT;3FQU;3FQW;3FQX;3FT2;3FT3;3FT4;3GIV;3GJF;3GSN;3GSO;3GSQ;3GSR;3GSU;3GSV;3GSW;3GSX;3H7B;3H9H;3H9S;3HAE;3HLA;3HPJ;3I6G;3I6K;3IXA;3KLA;3MGO;3MGT;3MR9;3MRB;3MRC;3MRD;3MRE;3MRF;3MRG;3MRH;3MRI;3MRJ;3MRK;3MRL;3MRM;3MRN;3MRO;3MRP;3MRQ;3MRR;3MYJ;3O3A;3O3B;3O3D;3O3E;3O4L;3PWJ;3PWL;3PWN;3PWP;3QDG;3QDJ;3QDM;3QEQ;3QFD;3QFJ;3REW;3TO2;3UTQ;3UTS;3UTT;3V5D;3V5H;3V5K;4E5X;4EMZ;4EN2;4EUP;4FTV;4GKN;4GKS;4I4W;4JFD;4JFE;4JFF;4JFO;4JFP;4JFQ;4K7F;4L29;4L3C;4L3E;4MNQ;4NNX;4NNY;4NO0;4NO2;4NO3;4NO5;4OV5;4QOK;4U6X;4U6Y;4UQ3;4WJ5;4WUU;4ZEZ;5C07;5C08;5C09;5C0A;5C0B;5C0C;5C0D;5C0E;5C0F;5C0G;5C0H;5C0I;5C0J;5D2L;5D2N;5D9S;5DDH;5E00;5E6I;5E9D;5ENW;5EOT;5EU3;5EU4;5EU5;5EU6;5EUO;5F7D;5F9J;5FA3;5FA4;5FDW;5HHM;5HHN;5HHO;5HHP;5HHQ;5HYJ;5IRO;5MEN;5MEO;5MEP;5MEQ;5MER;5SWQ;
P27797	CALR_HUMAN	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	417	2CLR;3DOW;3POS;3POW;5LK5;	2CLR;3DOW;3POS;3POW;5LK5;
P01732	CD8A_HUMAN	reviewed	T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a)	CD8A MAL	Homo sapiens (Human)	235	1AKJ;1CD8;1Q69;2HP4;3QZW;	1AKJ;1CD8;1Q69;2HP4;3QZW;
