Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
2351;ITGB6-FYN-FN1 complex;;Human;P02751,P06241,P18564;2335,2534,3694;MI:0019- coimmunoprecipitation;12917446;18.01.07,30.01.05.01,30.07;"Integrin beta6 signaling activates Fyn and thus promotes oral cancer progression.";"";"";
2323;ITGA6-ITGB4 complex; integrin complex;Human;P23229,P16144;3655,3691;MI:0019- coimmunoprecipitation | MI:0030- cross-linking studies;2649503;30.05.02,34.05,77.03.02.05;"";"";"";
382;Respiratory chain complex I, mitochondrial; NADH dehydrogenase (EC 1.6.5.3);Mouse;Q91WP8,Q9MD82,P03888,P03899,P03911,O35683,Q99LC3,Q9D8B4,Q7TMF3,Q9ERS2,Q9CQ75,Q9CQ91,Q62425,Q9CPP6,Q9CQZ5,Q9Z1P6,Q9DCJ5,Q9DC69,Q9CR21,Q9DCS9,O09111,Q9CPU2,Q9CQZ6,Q9CQC7,Q9CQH3,Q3UIU2,Q9CR61,Q9D6J5,Q9CQJ8,Q9CQ54,Q91VD9,Q91WD5,Q9DCT2,Q9CXZ1,Q99LY9,P52503,Q9DC70,Q8K3J1,Q91YT0,Q9D6J6;78330,17721,17716,17718,17719,54405,67273,69875,66414,67184,17991,66091,17992,68202,67130,66416,68375,66108,70316,68342,104130,68198,66495,68194,66046,230075,66916,67264,66218,68197,227197,226646,68349,17993,595136,407785,75406,225887,17995,72900;MI:0006- anti bait coimmunoprecipitation;15591592;02.11.05,02.13.03,20.01.15,70.16.05,77.03.01.01.01;"Complex I is the first multiprotein complex of the OXPHOS system and participates in the formation of a proton gradient across the inner mitochondrial membrane coupled to transfer of electrons from NADH to ubiquinone.";"";"";
5253;MNK1-eIF4F complex;;Human;P60842,P06730,Q9BUB5,(Q04637,P78344);1973,1977,8569,(1981,1982);MI:0006- anti bait coimmunoprecipitation;9878069;12.04.01,16.03.03;"Mnk1 is associated with the eIF4F complex. ";"";"";
2218;MDC1-MRE11-RAD50-NBS1 complex;;Human;Q14676,P49959,O60934,Q92878;9656,4361,4683,10111;MI:0019- coimmunoprecipitation | MI:0096- pull down;12607003;10.01.05.01,10.03.01.03,32.01.09,70.10;"In response to ionizing radiation, MDC1 is hyperphosphorylated and rapidly relocalizes to nuclear foci that also contain the MRE11 complex. MDC1-mediated focus formation by the MRE11 complex at sites of DNA damage is crucial for the efficient activation of the intra-S-phase checkpoint.";"";"";
3147;Beta/delta-coat protein subcomplex;;Rabbit;Q5XJY5,Q9JIF7;213827,70349;MI:0019- coimmunoprecipitation | MI:0226- ion exchange chromatography;9482852;20.01.10,20.09.07.25,42.09,70.03,70.09,77.03.11.07;"After dissociation/reassociation of the coatomer  with DMMA the authors isolated a subcomplex of coatomer consisting of beta- and delta-COPs that is able to bind to Golgi membranes in an ARF1- and GTP-dependent manner.";"";"Since the proteins from rabbit were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used. ";
3163;VILIP-1-AChR-alpha-4-AChR-beta-2 complex;;Rat;P09483,P12390,P62762;25590,54239,24877;MI:0006- anti bait coimmunoprecipitation;12202488;16.17.01,18.02.10,20.03.01.01,34.03.01,77.03.01.01.01;"The results suggest a rule for VILIP-1 as an AChR-associated protein that modulates the surface expression levels and functional properties of alpha 4-beta 2 AChRs in response to changes in the intracellular levels of calcium.";"";"";
5117;pRb2/p130-multimolecular complex (DNMT1, E2F4, SuV39H1, HDAC1, RBL2);;Human;P26358,Q16254,Q13547,Q08999,O43463;1786,1874,3065,5934,6839;MI:0019- coimmunoprecipitation | MI:0047- far western blotting;12789259;11.02.03.01;"";"";"";
377;PCNA-MutS-alpha-DNA initial complex; PCNA-MSH2-MSH6 complex;Human;P43246,P52701,P12004;4436,2956,5111;MI:0031- protein cross-linking with a bifunctional reagent | MI:0019- coimmunoprecipitation;16204460;10.01.05.01,16.03.01,70.10;"MutS-alpha, consisting of MSH2 and MSH6 proteins, and PCNA bind to DNA to form an initial complex. MutL-alpha, consisting of MLH1 and PMS2, binds to the complex when the DNA is damaged.";"";"";
517;Kinase-scaffold-phosphatase complex, PKA-AKAP79-CaN;;Human;P24588,Q08209,P13861;9495,5530,5576;MI:0055- fluorescent resonance energy transfer;12507994;14.04,14.07.03,14.10,30.05,70.02,70.04;"";"";"";
